cik,year
0000818033,2014
0000818033,2015
0000818033,2016
0000818033,2017
0000818033,2018
0000818033,2019
0000818033,2020
0000818033,2021
0001038133,2008
0001038133,2009
0001038133,2010
0001038133,2011
0001038133,2012
0001038133,2013
0001038133,2014
0001038133,2015
0001038133,2016
0001038133,2017
0001038133,2018
0001038133,2019
0001038133,2020
0001038133,2021
0001645590,2014
0001645590,2015
0001645590,2016
0001645590,2017
0001645590,2018
0001645590,2019
0001645590,2020
0001645590,2021
0001645590,2022
0000887497,2008
0000887497,2009
0000887497,2010
0000887497,2011
0000887497,2012
0000887497,2013
0001017480,2011
0001017480,2012
0001017480,2013
0001017480,2014
0001017480,2015
0001017480,2016
0001017480,2017
0001017480,2018
0001017480,2019
0001417398,2018
0001417398,2019
0001417398,2020
0001417398,2021
0001417398,2022
0000023666,2006
0000023666,2007
0000023666,2008
0000023666,2009
0000023666,2010
0000023666,2012
0000023666,2013
0000023666,2014
0001130866,2006
0001130866,2007
0001130866,2008
0001130866,2009
0001130866,2010
0001130866,2011
0001130866,2012
0001130866,2013
0000859737,2011
0000859737,2012
0000859737,2013
0000859737,2014
0000859737,2015
0000859737,2016
0000859737,2017
0001637655,2015
0001637655,2016
0001637655,2017
0001637655,2018
0001637655,2019
0001637655,2020
0001637655,2021
0001274057,2006
0001274057,2007
0001274057,2008
0001274057,2009
0001274057,2010
0001274057,2011
0001274057,2012
0001644406,2015
0001644406,2016
0001644406,2017
0001644406,2018
0001644406,2019
0001644406,2020
0001644406,2021
0000004281,2015
0000004281,2016
0000004281,2017
0000004281,2018
0000004281,2019
0000004281,2020
0000004281,2021
0000004281,2022
0000048898,2006
0000048898,2007
0000048898,2008
0000048898,2009
0000048898,2010
0001410240,2009
0001410240,2010
0001410240,2011
0000315374,2010
0000315374,2011
0000315374,2012
0000315374,2013
0000315374,2014
0000315374,2015
0000315374,2016
0000772897,2008
0000772897,2009
0000772897,2010
0000772897,2011
0000772897,2012
0000772897,2013
0000772897,2014
0000772897,2015
0001386858,2012
0001386858,2013
0001386858,2014
0001173514,2011
0001173514,2012
0001173514,2013
0001173514,2014
0001173514,2015
0001173514,2016
0001173514,2017
0001173514,2018
0001173514,2019
0001173514,2020
0001173514,2021
0001173514,2022
0000883984,2008
0000883984,2009
0000883984,2010
0000883984,2011
0000883984,2012
0000883984,2013
0000883984,2014
0000883984,2015
0000883984,2016
0000883984,2017
0000883984,2018
0000883984,2019
0000883984,2020
0000883984,2021
0000883984,2022
0000049728,2006
0000049728,2007
0000049728,2008
0000049728,2009
0000049728,2010
0000049728,2011
0000049728,2012
0001111928,2006
0001111928,2007
0001111928,2008
0001111928,2009
0001111928,2010
0001111928,2011
0001111928,2012
0001111928,2013
0001111928,2014
0001111928,2015
0001111928,2016
0001111928,2017
0001111928,2018
0001111928,2019
0001111928,2020
0001111928,2021
0001111928,2022
0001120295,2008
0001120295,2009
0001120295,2010
0001120295,2011
0001120295,2012
0001120295,2013
0001120295,2014
0001120295,2015
0001120295,2016
0001420720,2013
0001420720,2014
0001420720,2015
0001420720,2016
0001420720,2017
0000874716,2010
0000874716,2011
0000874716,2012
0000874716,2013
0000874716,2014
0000874716,2015
0000874716,2016
0000874716,2017
0000874716,2018
0000874716,2019
0000874716,2020
0000874716,2021
0001219210,2008
0001219210,2009
0001219210,2010
0001219210,2011
0001219210,2012
0001219210,2013
0001219210,2014
0000049826,2006
0000049826,2007
0000049826,2008
0000049826,2009
0000049826,2010
0000049826,2011
0000049826,2012
0000049826,2013
0000049826,2014
0000049826,2015
0000049826,2016
0000049826,2017
0000049826,2018
0000049826,2019
0000049826,2020
0000049826,2021
0000049826,2022
0001110803,2007
0001110803,2008
0001110803,2009
0001110803,2010
0001110803,2011
0001110803,2012
0001110803,2013
0000870826,2010
0000870826,2011
0000870826,2012
0000870826,2013
0000870826,2014
0000870826,2015
0000870826,2016
0001437786,2015
0001437786,2016
0001437786,2017
0001437786,2018
0000855654,2012
0000855654,2013
0000855654,2014
0000855654,2015
0000855654,2016
0000855654,2017
0000855654,2018
0000855654,2019
0000855654,2020
0000855654,2021
0000855654,2022
0001280776,2018
0001280776,2019
0001280776,2020
0001280776,2021
0001280776,2022
0000722830,2008
0000722830,2009
0000722830,2010
0000722830,2011
0000722830,2012
0000722830,2013
0000722830,2014
0000722830,2015
0000722830,2016
0000722830,2017
