cik,year
0001122342,2014
0001122342,2015
0000046129,2009
0000046129,2010
0000046129,2011
0000046129,2012
0000046129,2013
0000046129,2014
0000046129,2015
0001411207,2010
0001411207,2011
0001411207,2012
0001411207,2013
0001411207,2014
0001737287,2017
0001737287,2018
0001737287,2019
0001737287,2020
0001737287,2021
0001737287,2022
0001178670,2012
0001178670,2013
0001178670,2014
0001178670,2015
0001178670,2016
0001178670,2017
0001178670,2018
0001350653,2008
0001350653,2009
0001350653,2010
0001350653,2011
0001350653,2012
0001350653,2013
0001350653,2014
0001626199,2018
0001626199,2019
0001626199,2020
0001626199,2021
0001626199,2022
0000768251,2012
0000768251,2013
0000768251,2014
0001757715,2020
0001757715,2021
0001757715,2022
0001374535,2010
0001374535,2011
0001374535,2012
0001374535,2013
0001374535,2014
0000764180,2014
0000764180,2015
0000764180,2016
0000764180,2017
0000764180,2018
0000764180,2019
0000764180,2020
0000928465,2009
0000928465,2010
0000928465,2011
0000928465,2012
0000928465,2013
0000928465,2014
0000928465,2015
0000928465,2016
0000928465,2017
0000928465,2018
0000928465,2019
0001043186,2009
0001043186,2010
0001043186,2011
0001043186,2012
0001043186,2013
0001043186,2014
0001043186,2015
0000350832,2008
0000350832,2009
0000350832,2010
0000350832,2011
0000350832,2012
0000350832,2013
0001344596,2009
0001344596,2010
0001344596,2011
0001344596,2012
0001344596,2013
0001344596,2014
0001344596,2015
0000880807,2009
0000880807,2010
0000880807,2011
0000880807,2012
0000880807,2013
0000880807,2014
0000880807,2015
0000005981,2008
0000005981,2009
0000005981,2010
0000005981,2011
0000005981,2012
0000005981,2013
0000005981,2014
0001037868,2008
0001037868,2009
0001037868,2010
0001037868,2011
0001037868,2012
0001037868,2013
0001037868,2014
0001178879,2013
0001178879,2014
0001178879,2015
0001178879,2016
0001178879,2017
0001178879,2018
0001178879,2019
0001047127,2008
0001047127,2009
0001047127,2010
0001047127,2011
0001047127,2012
0001047127,2013
0001047127,2014
0001047127,2015
0001047127,2016
0001047127,2017
0001047127,2018
0001047127,2019
0001047127,2020
0001047127,2021
0001047127,2022
0000820313,2014
0000820313,2015
0000820313,2016
0000820313,2017
0000820313,2018
0000820313,2019
0000820313,2020
0000820313,2021
0000820313,2022
0001297184,2013
0001297184,2014
0001297184,2015
0001297184,2016
0001297184,2017
0001297184,2018
0001297184,2019
0001297184,2020
0001297184,2021
0001297184,2022
0000720500,2008
0000720500,2009
0000720500,2010
0000720500,2011
0000720500,2012
0000720500,2013
0000720500,2014
0000720500,2016
0000720500,2017
0000720500,2018
0000720500,2019
0000720500,2020
0000720500,2021
0000720500,2022
0001411158,2008
0001411158,2009
0001411158,2010
0001411158,2011
0001411158,2012
0001411158,2013
0001411158,2014
0001411158,2015
0000006281,2007
0000006281,2008
0000006281,2009
0000006281,2010
0000006281,2011
0000006281,2012
0000006281,2013
0000006284,2013
0000006284,2014
0000006284,2015
0000006284,2016
0000006284,2017
0001370053,2015
0001370053,2016
0001370053,2017
0001370053,2018
0001370053,2019
0001370053,2020
0001370053,2021
0001370053,2022
0000006314,2008
0000006314,2009
0000006314,2010
0000006314,2011
0000006314,2012
0000006314,2013
0001314052,2014
0001314052,2015
0001314052,2016
0001314052,2017
0001314052,2018
0001314052,2019
0001314052,2020
0001314052,2021
0001314052,2022
0000821026,2009
0000821026,2010
0000821026,2011
0000821026,2012
0000821026,2013
0000821026,2014
0000821026,2015
0000821026,2016
0000821026,2017
0000821026,2018
0000821026,2019
0000821026,2020
0000821026,2021
0001275187,2008
0001275187,2009
0001275187,2010
0001275187,2011
0001275187,2012
0001275187,2013
0001275187,2014
0001275187,2015
0001275187,2016
0001275187,2017
0001275187,2018
0001275187,2019
0001275187,2020
0001275187,2021
0001275187,2022
0000310569,2006
0000310569,2007
0000898437,2008
0000898437,2009
0000898437,2010
0000898437,2011
0000898437,2012
0000898437,2013
0000898437,2014
0000898437,2015
0000898437,2016
0000898437,2017
0000898437,2018
0000898437,2019
0000898437,2020
0000898437,2021
0000052795,2009
0000052795,2010
0000052795,2011
0000052795,2012
0000052795,2013
0000052795,2014
0000052795,2015
0000052795,2016
0000052795,2017
0000052795,2018
0000052795,2019
0001016169,2013
0001016169,2014
0001016169,2015
0001016169,2016
0001016169,2017
0001016169,2018
0001016169,2019
0001016169,2020
